question_id,base_question_id,language,country,category,label,correct_answer,predicted,is_correct,is_null,run_type,retrieve_similar_question,retrieve_similar_image,retrieve_prompt_image_by_qid,retrieve_image_by_qid,retrieve_wikipedia_passages,wikipedia_rag_tool,final_answer
5865910674272329281_1,5865910674272329281_1,Chinese,China,Geography / buildings / landmarks,2,西安,3,False,False,rag,True,True,True,False,False,False,True
5865941044276715033_1,5865941044276715033_1,Chinese,Singapore,Geography / buildings / landmarks,0,李光耀,0,True,False,rag,True,False,True,False,True,True,True
5865921724272396644_1_en,5865921724272396644_1,English,Brazil,Cooking and food,3,Cassava starch and cheese,3,True,False,rag,True,False,True,False,True,True,True
5865910664276876312_1,5865910664276876312_1,Chinese,China,Geography / buildings / landmarks,0,北方地区,3,False,False,rag,True,True,True,True,False,False,True
5865941054271253018_0,5865941054271253018_0,Chinese,Singapore,People and everyday life,3,送餐,3,True,False,rag,True,True,True,False,False,False,True
5865921724276128203_2,5865921724276128203_2,Portuguese,Brazil,Sports and recreation,1,Um malandro,1,True,False,rag,True,True,True,False,False,False,True
5865941054278310786_1,5865941054278310786_1,Chinese,Singapore,Traditions / art / history,0,为了生意兴隆,0,True,False,rag,True,False,True,False,True,False,True
5865941064274206244_0,5865941064274206244_0,Chinese,Singapore,Geography / buildings / landmarks,0,博物馆,3,False,False,rag,True,False,True,True,True,False,True
5865910684277574728_0,5865910684277574728_0,Chinese,China,Traditions / art / history,0,舞狮,0,True,False,rag,True,True,True,False,False,False,True
5865941054275946269_2,5865941054275946269_2,Chinese,Singapore,Public Figure and pop culture,2,中文,2,True,False,rag,True,False,True,False,True,True,True
5865921714277382984_1_en,5865921714277382984_1,English,Brazil,Geography / buildings / landmarks,3,Lacerda Elevator,3,True,False,rag,True,False,True,False,True,True,True
5865910674276140013_1,5865910674276140013_1,Chinese,China,Traditions / art / history,0,四川,0,True,False,rag,True,False,True,False,True,False,True
5865921724272758350_1,5865921724272758350_1,Portuguese,Brazil,Plants and animal,0,América do Sul,1,False,False,rag,True,False,True,False,True,True,True
5865921734271148267_1,5865921734271148267_1,Portuguese,Brazil,Cooking and food,0,Guabiroba,0,True,False,rag,True,False,True,False,True,False,True
5865921724272396644_1,5865921724272396644_1,Portuguese,Brazil,Cooking and food,3,Polvilho e queijo,3,True,False,rag,True,True,True,False,False,False,True
5865921734277107771_0,5865921734277107771_0,Portuguese,Brazil,Traditions / art / history,1,Cerâmica marajoara,1,True,False,rag,True,False,True,False,True,False,True
5865921734273472362_2_en,5865921734273472362_2,English,Brazil,Geography / buildings / landmarks,3,Corcovado,3,True,False,rag,True,False,True,False,True,True,True
5865921724273924245_0_en,5865921724273924245_0,English,Brazil,Geography / buildings / landmarks,3,Church of Saint Francis of Assisi,0,False,False,rag,True,True,True,False,True,False,True
5865910664273883825_0,5865910664273883825_0,Chinese,China,Traditions / art / history,0,皮影戏,0,True,False,rag,True,False,True,False,False,False,True
5865921724279756825_1,5865921724279756825_1,Portuguese,Brazil,Public Figure and pop culture,3,Por sua carreira como cantor e compositor,3,True,False,rag,True,True,True,False,False,True,True
5865921724279925605_1_en,5865921724279925605_1,English,Brazil,Traditions / art / history,1,On January 6th,1,True,False,rag,True,False,True,False,True,True,True
5865921734272896339_1_en,5865921734272896339_1,English,Brazil,Public Figure and pop culture,0,São Paulo,3,False,False,rag,True,True,True,False,True,True,True
5865921734272985666_0_en,5865921734272985666_0,English,Brazil,Geography / buildings / landmarks,0,"It is the Ministries Promenade, in Brasília",0,True,False,rag,True,True,True,False,True,False,True
5865941044275790004_0,5865941044275790004_0,Chinese,Singapore,People and everyday life,3,在饮料摊购买,0,False,False,rag,True,False,True,False,False,False,True
5865910674274522108_0,5865910674274522108_0,Chinese,China,Traditions / art / history,0,象形字,3,False,False,rag,True,False,True,False,True,False,True
5865921724271226128_0_en,5865921724271226128_0,English,Brazil,Geography / buildings / landmarks,0,Curitiba Botanical Garden,0,True,False,rag,True,False,True,False,True,False,True
5865910684272254017_0,5865910684272254017_0,Chinese,China,Objects / materials / clothing,3,汉服,2,False,False,rag,True,True,True,False,False,False,True
5865910684274960009_1,5865910684274960009_1,Chinese,China,Traditions / art / history,1,写字和画画,1,True,False,rag,True,False,True,False,False,False,True
5865910684272121226_0,5865910684272121226_0,Chinese,China,Traditions / art / history,0,春节,0,True,False,rag,True,False,True,True,False,False,True
5865910684272730176_0,5865910684272730176_0,Chinese,China,Geography / buildings / landmarks,1,西藏拉萨,1,True,False,rag,True,True,True,False,False,False,True
5865921724271622539_0_en,5865921724271622539_0,English,Brazil,Plants and animal,3,Capybara,3,True,False,rag,True,True,True,False,False,False,True
5865910674272466659_0,5865910674272466659_0,Chinese,China,Traditions / art / history,3,打铁花,3,True,False,rag,True,False,True,True,True,False,True
5865941064272683818_0,5865941064272683818_0,Chinese,Singapore,People and everyday life,3,食物,1,False,False,rag,True,False,True,False,True,True,True
5865921724278872802_0,5865921724278872802_0,Portuguese,Brazil,People and everyday life,2,Baiana,2,True,False,rag,True,False,True,False,True,False,True
5865921714279492186_2,5865921714279492186_2,Portuguese,Brazil,Vehicles and Transportation,1,D,0,False,False,rag,True,False,True,False,False,False,True
5865921714274479723_0_en,5865921714274479723_0,English,Brazil,Vehicles and Transportation,2,Motorcycle courier,2,True,False,rag,True,False,True,False,False,False,True
5865921724273924245_2,5865921724273924245_2,Portuguese,Brazil,Geography / buildings / landmarks,2,Oscar Niemeyer,2,True,False,rag,True,False,True,False,False,False,True
