question_id,base_question_id,language,country,category,label,correct_answer,predicted,is_correct,is_null,run_type
5865910674272329281_1,5865910674272329281_1,Chinese,China,Geography / buildings / landmarks,2,西安,2,True,False,baseline
5865910664275383453_1,5865910664275383453_1,Chinese,China,Cooking and food,1,农历新年,1,True,False,baseline
5865921714274651543_0_en,5865921714274651543_0,English,Brazil,Objects / materials / clothing,2,Clay,2,True,False,baseline
5865921724279688994_0,5865921724279688994_0,Portuguese,Brazil,Vehicles and Transportation,0,Carro de boi,0,True,False,baseline
5865910684279167309_0,5865910684279167309_0,Chinese,China,Plants and animal,1,丹顶鹤,1,True,False,baseline
5865941044276715033_1,5865941044276715033_1,Chinese,Singapore,Geography / buildings / landmarks,0,李光耀,0,True,False,baseline
5865910674271705429_1,5865910674271705429_1,Chinese,China,Objects / materials / clothing,2,寺庙,2,True,False,baseline
5865921714276184199_0,5865921714276184199_0,Portuguese,Brazil,Cooking and food,0,Pamonha,0,True,False,baseline
5865910694275843511_0,5865910694275843511_0,Chinese,China,Cooking and food,3,煮干丝,2,False,False,baseline
5865921724278795045_1_en,5865921724278795045_1,English,Brazil,Traditions / art / history,2,Tarsila do Amaral,2,True,False,baseline
5865921724272396644_1_en,5865921724272396644_1,English,Brazil,Cooking and food,3,Cassava starch and cheese,3,True,False,baseline
5865910664274830016_0,5865910664274830016_0,Chinese,China,Cooking and food,3,涮羊肉,3,True,False,baseline
5865921714273430619_0,5865921714273430619_0,Portuguese,Brazil,Public Figure and pop culture,0,Rodrigo Santoro,0,True,False,baseline
5865941054277281187_0,5865941054277281187_0,Chinese,Singapore,Sports and recreation,3,太极,3,True,False,baseline
5865941044275296417_0,5865941044275296417_0,Chinese,Singapore,Geography / buildings / landmarks,3,新加坡的国家吉祥物和象征,3,True,False,baseline
5865910664276876312_1,5865910664276876312_1,Chinese,China,Geography / buildings / landmarks,0,北方地区,0,True,False,baseline
5865921724278669886_2,5865921724278669886_2,Portuguese,Brazil,Public Figure and pop culture,1,O alquimista,1,True,False,baseline
5865921724272018651_0,5865921724272018651_0,Portuguese,Brazil,Vehicles and Transportation,0,Transporte público de passageiros dentro de cidades,0,True,False,baseline
5865910664275653491_0,5865910664275653491_0,Chinese,China,Geography / buildings / landmarks,2,秦始皇,1,False,False,baseline
5865921734273845461_0,5865921734273845461_0,Portuguese,Brazil,Public Figure and pop culture,0,Silvio Santos,0,True,False,baseline
5865941054271253018_0,5865941054271253018_0,Chinese,Singapore,People and everyday life,3,送餐,3,True,False,baseline
5865910694275430127_0,5865910694275430127_0,Chinese,China,Geography / buildings / landmarks,3,故宫,3,True,False,baseline
5865921734277107771_0_en,5865921734277107771_0,English,Brazil,Traditions / art / history,1,Marajoara pottery,1,True,False,baseline
5865921714276293150_2,5865921714276293150_2,Portuguese,Brazil,Public Figure and pop culture,1,Krenak,1,True,False,baseline
5865921714276226399_1_en,5865921714276226399_1,English,Brazil,Plants and animal,1,South America,1,True,False,baseline
5865921724276128203_2,5865921724276128203_2,Portuguese,Brazil,Sports and recreation,1,Um malandro,1,True,False,baseline
5865921724273569611_0_en,5865921724273569611_0,English,Brazil,Plants and animal,1,Hyacinth macaw,1,True,False,baseline
5865921724272670398_0,5865921724272670398_0,Portuguese,Brazil,Plants and animal,3,Onça pintada,3,True,False,baseline
5865921714273558606_2,5865921714273558606_2,Portuguese,Brazil,Plants and animal,2,Ambientes aquáticos,2,True,False,baseline
5865910674272393747_1,5865910674272393747_1,Chinese,China,Geography / buildings / landmarks,3,北京,3,True,False,baseline
5865941054278310786_1,5865941054278310786_1,Chinese,Singapore,Traditions / art / history,0,为了生意兴隆,0,True,False,baseline
5865921724273326810_0_en,5865921724273326810_0,English,Brazil,Traditions / art / history,3,Boi-bumbá,3,True,False,baseline
5865921714271008740_0,5865921714271008740_0,Portuguese,Brazil,Geography / buildings / landmarks,1,Palácio Rio Branco,1,True,False,baseline
5865921734276048062_0_en,5865921734276048062_0,English,Brazil,Public Figure and pop culture,3,Anitta,3,True,False,baseline
5865921724271226128_2_en,5865921724271226128_2,English,Brazil,Geography / buildings / landmarks,0,Paraná,0,True,False,baseline
5865941064274206244_0,5865941064274206244_0,Chinese,Singapore,Geography / buildings / landmarks,0,博物馆,0,True,False,baseline
5865921714273558606_1_en,5865921714273558606_1,English,Brazil,Plants and animal,2,South America,2,True,False,baseline
5865921734272835772_0_en,5865921734272835772_0,English,Brazil,Cooking and food,3,Condensed milk pudding,3,True,False,baseline
5865910674275661528_2,5865910674275661528_2,Chinese,China,People and everyday life,1,广场,1,True,False,baseline
5865921724273589087_0_en,5865921724273589087_0,English,Brazil,Traditions / art / history,0,Aleijadinho,0,True,False,baseline
5865910684277574728_0,5865910684277574728_0,Chinese,China,Traditions / art / history,0,舞狮,0,True,False,baseline
5865921734273050896_1,5865921734273050896_1,Portuguese,Brazil,Public Figure and pop culture,2,Como líder sindical,2,True,False,baseline
5865910684275278248_0,5865910684275278248_0,Chinese,China,Sports and recreation,2,围棋,2,True,False,baseline
5865921724278795045_1,5865921724278795045_1,Portuguese,Brazil,Traditions / art / history,2,Tarsila do Amaral,2,True,False,baseline
5865921724278457769_1_en,5865921724278457769_1,English,Brazil,Geography / buildings / landmarks,2,The Hill of the Two Brothers,2,True,False,baseline
5865941054275946269_2,5865941054275946269_2,Chinese,Singapore,Public Figure and pop culture,2,中文,2,True,False,baseline
5865941054279861444_1,5865941054279861444_1,Chinese,Singapore,Brands / products / companies,1,咖啡,1,True,False,baseline
5865910694271174498_0,5865910694271174498_0,Chinese,China,Traditions / art / history,0,皮影戏,0,True,False,baseline
5865921714273558606_2_en,5865921714273558606_2,English,Brazil,Plants and animal,2,Aquatic environments,2,True,False,baseline
5865921724276490167_1_en,5865921724276490167_1,English,Brazil,Brands / products / companies,0,Brazil,0,True,False,baseline
